Station Code,Name,Date,Temp,Prec,WS,Humi,Pres
108,서울,2020-11-05,9.6,,1.8,61.5,1016.7
108,서울,2020-11-06,13.5,,1.7,63.3,1010.9
108,서울,2020-11-07,14.6,0.1,2.7,68.8,1007.6
108,서울,2020-11-08,8.5,,3.1,43.8,1012.3
108,서울,2020-11-09,5.5,,1.8,40.9,1015.2
108,서울,2020-11-10,7.7,,2.2,56.1,1017.9
108,서울,2020-11-11,9.3,,1.6,53.5,1021.3
108,서울,2020-11-12,10.4,,1.7,56.9,1019.9
108,서울,2020-11-13,12.2,,1.6,71.5,1018.2
108,서울,2020-11-14,12.5,,1.7,66.9,1018.9
108,서울,2020-11-15,11.1,,1.7,75,1017.1
108,서울,2020-11-16,12.4,,1.6,70.1,1015.9
108,서울,2020-11-17,15.9,0.1,2.3,67.5,1013.2
108,서울,2020-11-18,16.6,12.2,2.6,91.4,1005.5
108,서울,2020-11-19,13.6,86.9,4.2,90.5,998
108,서울,2020-11-20,2.8,0,3.2,74.3,1009.3
108,서울,2020-11-21,6.5,0.2,2.1,67.9,1013.1
108,서울,2020-11-22,5.6,4.8,2.5,80.5,1012.4
108,서울,2020-11-23,1.7,,2.3,61.4,1017.8
108,서울,2020-11-24,2.9,,1.8,54.5,1018
108,서울,2020-11-25,4.6,,1.5,64.1,1017
108,서울,2020-11-26,5.6,,1.7,66.5,1016.5
108,서울,2020-11-27,4.1,0,2.7,61.6,1015.4
108,서울,2020-11-28,-0.1,,2.8,50,1018.3
108,서울,2020-11-29,-0.6,,2.2,59.6,1019.3
108,서울,2020-11-30,-0.2,,1.9,57.8,1024.1
108,서울,2020-12-01,1.1,,1.9,44.5,1024.7
108,서울,2020-12-02,2.4,,1.8,41.4,1020.2
108,서울,2020-12-03,0.7,,2.7,47.1,1019.1
108,서울,2020-12-04,-0.6,,1.8,53.8,1019.6
108,서울,2020-12-05,2.1,,1.7,63.1,1019.1
108,서울,2020-12-06,4.5,,1.8,66.9,1017.4
108,서울,2020-12-07,3.4,,2.6,57.5,1017.6
108,서울,2020-12-08,-0.5,,2,50,1018.2
108,서울,2020-12-09,1.5,,1.5,55.1,1015.9
108,서울,2020-12-10,5.8,0,1.7,69.9,1011.8
108,서울,2020-12-11,5.3,,1.8,77.1,1009.1
108,서울,2020-12-12,2.3,,2.1,51.3,1009
108,서울,2020-12-13,-1.1,2.9,2.9,74.9,1008.4
108,서울,2020-12-14,-7.7,,3.4,49.1,1018.3
108,서울,2020-12-15,-8.3,,2.8,43,1020.5
108,서울,2020-12-16,-8.3,,2.6,43.9,1020.6
108,서울,2020-12-17,-4.9,0,1.7,47,1019.6
108,서울,2020-12-18,-2.1,0.2,3,57,1017.7
108,서울,2020-12-19,-5.1,,2.4,45.1,1022.4
108,서울,2020-12-20,-3.7,,2,50.4,1021.6
108,서울,2020-12-21,-1,,1.6,64.1,1018.4
108,서울,2020-12-22,2,,2,67.6,1015.3
108,서울,2020-12-23,4.5,0,2.3,76.6,1011.3
108,서울,2020-12-24,2.6,,2.9,61.5,1007.8
108,서울,2020-12-25,-0.8,,2.1,51.9,1012.8
108,서울,2020-12-26,2.2,,1.8,65.8,1013.5
108,서울,2020-12-27,5.8,0,1.8,62.9,1011
108,서울,2020-12-28,6.7,1.3,1.4,72.1,1012.6
108,서울,2020-12-29,0.1,0.2,2.9,70.8,1011
108,서울,2020-12-30,-10.9,,4.1,55.5,1012.5
108,서울,2020-12-31,-8.9,0,2.4,53.9,1015.4
